pantone,name,hex,rgb,skc,family,shade,needs_review
15-1045TPG,Autumn Blaze,#DB9332,"219,147,50",2400,2,400,False
13-0939TPG,Golden Cream,#F1BC69,"241,188,105",2280,2,280,False
13-0946TPG,Jurassic Gold,#E8AA54,"232,170,84",2340,2,340,False
14-1052TPG,Kumquat,#FCAF5A,"252,175,90",2300,2,300,False
16-1054TPG,Sunflower,#D49537,"212,149,55",2400,2,400,False
15-1050TPG,Golden Glow,#DDA142,"221,161,66",2370,2,370,False
14-1041TPG,Golden Apricot,#DFAD61,"223,173,97",2340,2,340,False
15-1051TPG,Golden Orange,#D79232,"215,146,50",2410,2,410,False
13-0941TPG,Banana Cream,#FFD075,"255,208,117",2230,2,230,False
13-0932TPG,Cornsilk,#ECC478,"236,196,120",2270,2,270,False
13-0940TPG,Sunset Gold,#F9C66D,"249,198,109",2260,2,260,False
14-0851TPG,Samoan Sun,#F5CC71,"245,204,113",1240,1,240,True
14-0847TPG,Buff Yellow,#F2C471,"242,196,113",2260,2,260,False
14-0850TPG,Daffodil,#FFC752,"255,199,82",1250,1,250,True
14-0846TPG,Yolk Yellow,#E3B253,"227,178,83",2320,2,320,False
12-0826TPG,Golden Haze,#FADA95,"250,218,149",1200,1,200,True
12-0758TPG,Yarrow,#F0CB76,"240,203,118",1250,1,250,True
14-0848TPG,Mimosa,#EBBF57,"235,191,87",1280,1,280,True
13-0859TPG,Lemon Chrome,#FFC600,"255,198,0",1260,1,260,False
14-0957TPG,Spectra Yellow,#FFC428,"255,196,40",1260,1,260,True
13-0759TPG,Solar Power,#F3C44D,"243,196,77",1270,1,270,True
14-0951TPG,Golden Rod,#E8AC32,"232,172,50",1330,1,330,True
13-0840TPG,Snapdragon,#FFD673,"255,214,115",1210,1,210,True
13-0851TPG,Minion YellowTM,#FFD763,"255,215,99",1210,1,210,True
13-0850TPG,Aspen Gold,#FED65E,"254,214,94",1220,1,220,True
13-0849TPG,Habañero Gold,#FFD653,"255,214,83",1220,1,220,True
13-0758TPG,Dandelion,#FFD31A,"255,211,26",1230,1,230,False
13-0752TPG,Lemon,#F0C62D,"240,198,45",1270,1,270,False
14-0852TPG,Freesia,#F3C336,"243,195,54",1270,1,270,True
13-0754TPG,Sunstruck,#F5D051,"245,208,81",1240,1,240,False
14-0849TPG,Beach Ball,#F4C863,"244,200,99",1260,1,260,True
14-0751TPG,Daisy Daze,#EFC326,"239,195,38",1280,1,280,False
13-0757TPG,Calendula,#E0B13A,"224,177,58",1330,1,330,True
14-0958TPG,Bumblebee,#F0B903,"240,185,3",1300,1,300,False
